"Date","Price","Open","High","Low","Change %"
"Mar 25, 2022","4.7420","4.8273","4.8298","4.7297","-1.73%"
"Mar 24, 2022","4.8253","4.8263","4.8591","4.7649","-0.01%"
"Mar 23, 2022","4.8258","4.9108","4.9214","4.8215","-1.70%"
"Mar 22, 2022","4.9094","4.9366","4.9514","4.9048","-0.53%"
"Mar 21, 2022","4.9354","5.0245","5.0299","4.9309","-1.75%"
"Mar 18, 2022","5.0231","5.0406","5.0760","4.9924","-0.32%"
"Mar 17, 2022","5.0390","5.0778","5.1080","5.0279","-0.72%"
"Mar 16, 2022","5.0757","5.1599","5.1599","5.0718","-1.69%"
"Mar 15, 2022","5.1631","5.1224","5.1700","5.0922","0.86%"
"Mar 14, 2022","5.1193","5.0591","5.1402","5.0373","0.88%"
"Mar 11, 2022","5.0745","5.0132","5.0820","4.9820","1.27%"
"Mar 10, 2022","5.0110","5.0150","5.0765","5.0101","-0.03%"
"Mar 09, 2022","5.0123","5.0286","5.0363","4.9850","-0.94%"
"Mar 08, 2022","5.0599","5.0813","5.1011","5.0446","-1.01%"
"Mar 07, 2022","5.1115","5.0785","5.1152","5.0280","0.98%"
"Mar 04, 2022","5.0620","5.0517","5.1017","5.0227","0.60%"
"Mar 03, 2022","5.0320","5.0978","5.1155","5.0188","-1.32%"
"Mar 02, 2022","5.0995","5.2144","5.2233","5.0866","-1.16%"
"Mar 01, 2022","5.1595","5.1605","5.1605","5.1605","-0.01%"
"Feb 28, 2022","5.1599","5.1638","5.1654","5.1600","-0.05%"
"Feb 25, 2022","5.1623","5.1199","5.1810","5.0785","0.77%"
"Feb 24, 2022","5.1231","5.0050","5.1640","5.0050","2.26%"
"Feb 23, 2022","5.0097","5.0621","5.0621","4.9939","-0.96%"
"Feb 22, 2022","5.0583","5.1080","5.1080","5.0437","-0.89%"
"Feb 21, 2022","5.1036","5.1374","5.1552","5.0746","-0.68%"
"Feb 18, 2022","5.1385","5.1718","5.1766","5.1088","-0.64%"
"Feb 17, 2022","5.1718","5.1360","5.1840","5.1238","0.69%"
"Feb 16, 2022","5.1365","5.1600","5.1782","5.1225","-0.44%"
"Feb 15, 2022","5.1590","5.2188","5.2212","5.1585","-1.07%"
"Feb 14, 2022","5.2149","5.2560","5.2670","5.1954","-0.72%"
"Feb 11, 2022","5.2527","5.2365","5.2659","5.1805","0.06%"
"Feb 10, 2022","5.2496","5.2389","5.2557","5.1727","0.27%"
"Feb 09, 2022","5.2354","5.2600","5.2910","5.2126","-0.45%"
"Feb 08, 2022","5.2593","5.2634","5.2900","5.2508","-0.08%"
"Feb 07, 2022","5.2636","5.3260","5.3283","5.2491","-1.21%"
"Feb 04, 2022","5.3279","5.3027","5.3509","5.2778","0.83%"
"Feb 03, 2022","5.2839","5.2765","5.3232","5.2717","0.42%"
