,Date,Close,Price
0,2000-01-03,16930.0,1.82
1,2000-01-04,15851.0,1.849
2,2000-01-05,16245.0,1.838
3,2000-01-06,16107.0,1.841
4,2000-01-07,16309.0,1.8275
5,2000-01-10,17022.0,1.814
6,2000-01-11,16573.0,1.822
7,2000-01-12,16617.0,1.8285
8,2000-01-13,17298.0,1.812
9,2000-01-14,17658.0,1.804
10,2000-01-17,18053.0,1.793
11,2000-01-18,17903.0,1.7925
12,2000-01-19,17470.0,1.791
13,2000-01-20,17177.0,1.783
14,2000-01-21,17034.0,1.7725
15,2000-01-24,16972.0,1.772
16,2000-01-25,17038.5,1.7765
17,2000-01-26,17105.0,1.778
18,2000-01-27,17081.0,1.779
19,2000-01-28,16734.0,1.7935
20,2000-01-31,16388.0,1.784
21,2000-02-01,16522.0,1.789
22,2000-02-02,16868.0,1.785
23,2000-02-03,17457.0,1.784
24,2000-02-04,17932.0,1.768
25,2000-02-07,18126.0,1.7685
26,2000-02-08,18686.0,1.765
27,2000-02-09,18361.0,1.768
28,2000-02-10,18604.0,1.766
29,2000-02-11,18083.0,1.7725
30,2000-02-14,17819.0,1.773
31,2000-02-15,17921.0,1.7765
32,2000-02-16,18112.0,1.774
33,2000-02-17,17979.0,1.7725
34,2000-02-18,17625.0,1.778
35,2000-02-21,17700.0,1.778
36,2000-02-22,17489.0,1.7855
37,2000-02-23,17833.0,1.7835
38,2000-02-24,17776.0,1.777
39,2000-02-25,17787.0,1.7735
40,2000-02-28,17543.0,1.777
41,2000-02-29,17660.0,1.768
42,2000-03-01,17953.0,1.762
43,2000-03-02,18016.0,1.757
44,2000-03-03,18632.0,1.745
45,2000-03-06,18515.666666666668,1.7455
46,2000-03-07,18399.33333333333,1.7455
47,2000-03-08,18283.0,1.741
48,2000-03-09,18650.0,1.7425
49,2000-03-10,18280.0,1.744
50,2000-03-13,17595.0,1.7445
51,2000-03-14,17222.0,1.7385
52,2000-03-15,17382.0,1.74
53,2000-03-16,17642.0,1.7385
54,2000-03-17,17511.0,1.7385
55,2000-03-20,17526.0,1.7375
56,2000-03-21,18343.0,1.734
57,2000-03-22,18314.0,1.729
58,2000-03-23,18331.0,1.72
59,2000-03-24,18675.0,1.733
60,2000-03-27,18951.0,1.749
61,2000-03-28,18338.0,1.742
62,2000-03-29,18053.0,1.7445
63,2000-03-30,17647.0,1.7595
64,2000-03-31,17820.0,1.7395
65,2000-04-03,17245.0,1.742
66,2000-04-04,16758.0,1.7455
67,2000-04-05,16714.0,1.749
68,2000-04-06,17146.0,1.746
69,2000-04-07,17514.0,1.7405
70,2000-04-10,16783.0,1.7425
71,2000-04-11,16539.0,1.743
72,2000-04-12,16323.0,1.755
73,2000-04-13,15501.0,1.781
74,2000-04-14,14794.0,1.786
75,2000-04-17,14816.0,1.7755
76,2000-04-18,15408.0,1.761
77,2000-04-19,14926.0,1.7755
78,2000-04-20,15203.0,1.777
79,2000-04-21,14998.5,1.7775
80,2000-04-24,14794.0,1.7925
81,2000-04-25,15401.0,1.7885
82,2000-04-26,15446.0,1.8025
83,2000-04-27,15440.0,1.805
84,2000-04-28,15538.0,1.805
85,2000-05-01,15531.0,1.8055
86,2000-05-02,15524.0,1.803
87,2000-05-03,15109.0,1.8155
88,2000-05-04,14970.0,1.811
89,2000-05-05,15218.0,1.7995
90,2000-05-08,14891.0,1.8065
91,2000-05-09,14582.0,1.811
92,2000-05-10,14434.0,1.8195
93,2000-05-11,14499.0,1.8255
94,2000-05-12,14459.0,1.8365
95,2000-05-15,15056.0,1.8235
96,2000-05-16,15360.0,1.8175
97,2000-05-17,14871.0,1.8295
98,2000-05-18,14627.0,1.8345
99,2000-05-19,14327.0,1.8395
100,2000-05-22,13891.0,1.851
101,2000-05-23,13587.0,1.855
102,2000-05-24,14166.0,1.8405
103,2000-05-25,14186.0,1.847
104,2000-05-26,14542.0,1.8365
105,2000-05-29,14773.0,1.837
106,2000-05-30,15249.0,1.831
107,2000-05-31,14957.0,1.824
108,2000-06-01,15450.0,1.82
109,2000-06-02,16222.0,1.801
